篇名	作者	页数	关键词	摘要	filename
关于举办2018年“发现图书馆阅读推广特色人文空间”活动的通知		1	 	"<正>各图书馆:图书馆作为开展阅读推广活动的主阵地,在""全民阅读""工作中承担着重要的组织和实施工作。近年来,全国各级各类图书馆全面开展""全民阅读""工作,以各类阅读创新活动为载体、以馆藏特色文献为支撑,积极探索图书馆阅读推广空间建设,逐步涌现出一批以社会人士捐赠图书室、名人特藏文献室、乡土文化及地方文献展示推广空间、学习(阅读、信息、才艺)共享空间等案例的特色人文阅读空间,不仅丰富了图书馆馆藏,提 "	PTSQ201801014
《图书情报研究》2018年选题指南		1	 	"<正>《图书情报研究》自2008年创刊以来,在广大编委、作者、读者的关心和支持下,秉承和坚守""服务于图书、情报、档案工作,服务于广大读者、用户的信息需求,服务于图书馆学、情报学、档案学学科建设和学科教育发展""的办刊宗旨,经过十年发展,办刊质量稳步提升,影响力逐步扩大。在新时代 "	PTSQ201801015
本刊投稿格式		1	 	"<正>1架构顺序:①中文题目、作者姓名、作者单位名称及邮政编码、中文摘要、中文关键词(3-8个)、中图分类号;②英文题目、作者汉语拼音姓名、作者单位英文名称及邮政编码、英文摘要、英文关键词;③正文;④参考文献;⑤作者简介(姓名、性别、出生年、职称、职务、研究方向、发表论文及出版著作数量)。2摘要撰写:从2018年1月1日起,摘要更改 "	PTSQ201801016
征稿启事		1	 	"<正>《图书情报研究》系由江苏大学主办的图书馆学、情报学、档案学学术刊物(ISSN 2222-1603),热忱欢迎广大作者投稿。本刊以广大图书、情报、档案工作者和图书情报学、档案学专业师生为主要读者对象,坚持""百花齐放,百家争鸣""方针,注重理论性与实践性相结合、微观性与宏观性相结合、探索性与指导性相结合、学术性与可读性相结合、普及性与提高性相结合,致力于为学术研究搭建一个新的交流平台,着力打造学术精品。 "	PTSQ201801017
"“芸香浓处多吾辈,广觅同心叙古欢”——苏州城乡私家藏书的传统与历史文脉传承"	曹培根:06479694	8	苏州; 私家藏书; 历史文脉;	"吴文化核心区苏州具有本土文化与中原商周文化交融发展的书香土壤,言偃开启江南崇文藏书历史传统。东汉以后,苏州藏书家辈出,至明清苏州成为中国私家藏书中心地。存世珍贵典籍大多经苏州藏书家递藏,苏州藏书家刻书多,对传播文学、艺术与学术著作贡献尤大。藏书家本身博学多艺,在学术文化诸多领域作出了卓越成就。苏州藏书文化体现的核心价值是爱国、敬业、读书立德修身精神,是启迪当代的优秀文化遗产。 "	PTSQ201704001
承传融合与开放共享——近代广东私家藏书成就及其对当代文化建设的启示	程大立:34430658	4	私家藏书; 近代广东; 承传融合; 开放共享; 文化建设;	"概述近代广东私家藏书成就,认为其领全国之先,藏家众多,藏量巨大,藏品珍贵,且在校勘、注释和出版上具有极高的学术价值,对岭南文化与中原文化、西方文化的融通发挥了重要作用;并分析近代广东私家藏书对当代文化建设的四点启示:以经济发展促进藏书事业,以开放典藏促进公众捐赠,以科技创新促进经典共享,以现代转化促进文化融合。 "	PTSQ201704002
"“相交无他事,唯有书与文”——以同名异书的范用随笔集《相约在书店》为中心"	王成玥:34833768	6	范用; 编辑出版家; 《相约在书店》;	"比较阅读同名异书的《相约在书店》,指出两书在编辑方针上的异同及其共同的阅读接受价值,综述该书作者、当代编辑出版家范用热爱读书、缘定书业的人生经历,阐发其""为书籍的一生""的具体人文内涵,即""爱看杂书""的阅读态度,勇于选题、注重书籍的整体装帧以及""书友无忌""、""童心不老""的处世哲学。 "	PTSQ201704003
读书永远是“进行时”——斋藤孝《阅读的力量》与聂震宁《阅读力》两书比较谈	徐雁:08037148	8	阅读文化学; 全民阅读推广; 阅读方法论; 《阅读的力量》; 《阅读力》;	"通过对斋藤孝《阅读的力量》与聂震宁《阅读力》两书的比较阅读和评介,阐发两位作者有关""阅读力""的形成、发展及其内涵的异同观点,对于读者阅读接受有关阅读文化学的基本理念和方法论,具有一定的思想启迪性。 "	PTSQ201704004
现代阅读学课程的理论与实践——德州学院现代阅读学课程教改实验回顾与思考	王继坤:06551945	7	现代阅读学课程; 德州学院; 教学改革; 教学实验;	"对德州学院1998~2005年间开展的现代阅读学走进大学课堂教改实验进行回顾和总结。简介课题的申请和阅读学教科书的编写,论述教改实验的三个阶段。概括出该项教改实验所取得的四大开创性成果,即四个""全国第一"":全国第一家由省教育主管部门审批并主导的大学阅读学教改课题;编写并出版供高校使用且具高品位的中国第一部阅读学教科书——《现代阅读学教程》;大学生阅读教改实验学生参与之广泛,规模之大,坚持之久属全国第一家;编写并出版全国第一部供大学使用的速读训练教材——《大学速读训练教程》。最后从五个方面深刻论证阅读学走进大学课堂的必要性和必然性。 "	PTSQ201704005
新时期公共图书馆全民阅读服务创新实践与思考——以广州图书馆为例	刘艺权:37460566	5	全民阅读; 服务创新; 广州图书馆; 公共图书馆;	"从举办羊城学堂讲座、建设馆内特色资源和提供特色服务、根据不同节假日分主题开展活动、开展微阅读运动、与不同社会团体和企事业单位合作等几方面介绍广州图书馆在新时期开展全民阅读服务的举措。结合广州图书馆的实践,针对新时期的公共图书馆全民阅读服务提出几点思考:加强阅读文化法治建设,创新经费保障机制,以人为本推广阅读,充分利用社会资源。 "	PTSQ201704006
中小型图书馆古籍资源开发之管见	颜晨馨:38046532	5	中小型图书馆; 古籍资源; 古籍开发; 古籍保护; 地域文化;	"分析中小型图书馆在开发古籍资源时面临的困难:资源种类和数量有限、人手紧张、经费不足。在此基础上,从推进古籍资源开发区域一体化、实现地方古籍资源再生性保护与开发、挖掘古籍资源建设地域文化特色品牌三个方面,提出中小型图书馆古籍资源开发的途径。 "	PTSQ201704007
《2015～2020年俄罗斯国家图书馆发展战略》解读	贺延辉:07287998	7	俄罗斯国家图书馆; 发展战略; 中国国家图书馆; “十三五”发展规划;	"俄罗斯国家图书馆(NLR)制定和实施《2015~2020年俄罗斯国家图书馆发展战略》(简称《战略》)具有现实需求性,是由NLR自身发展和俄罗斯国家文化发展战略所决定的。《战略》以《国家文化政策基础》为基础和保障,在内容上,定位NLR的使命与作用,明确NLR优先发展方向,部署NLR发展的战略任务,突出强调NLR服务于国家文化政策的文化教育职能,对俄罗斯图书馆事业发展具有导向性作用。分析《战略》为中国国家图书馆(NLC)制定《""十三五""发展规划纲要》(简称《纲要》)带来三点启示:结合NLC自身发展需要和社会需求及时制定和出台发展规划,采取有效措施保障发展规划的实施;以国情为出发点,将NLC自身发展规划与国家文化事业发展目标与任务相结合,促进和带动我国图书馆事业发展充分融入国家和社会发展的现实之中;《纲要》在内容上既要具全面性又要重点突出。 "	PTSQ201704008
国家数字图书馆建设进展与展望	温泉:26418029	5	国家数字图书馆; 国家图书馆; 数字图书馆建设; 数字图书馆服务;	"从技术、资源、服务三个方面介绍国家数字图书馆建设的新进展。分析国家数字图书馆建设的四大特点:以全局视角科学规划数字图书馆建设;实现数字图书馆业务的全流程管理;以先进技术打造数字图书馆核心系统;构建完备的数字图书馆建设管理与人才保障体系。对国家数字图书馆建设的未来进行展望,包括搭建数字图书馆可靠网络体系、构造知识化的数字信息资源库、打造泛在化的数字图书馆服务、构建数字图书馆技术支撑体系、推进数字图书馆跨域合作共建。 "	PTSQ201704009
移动阅读的生态发展策略	张红燕:10559668	7	移动阅读; 信息生态; 移动阅读生态系统; 运行机制; 发展策略;	"界定移动阅读的概念和范围,分析移动阅读的独特优势,运用信息生态学理论构建移动阅读信息生态系统模型,剖析移动阅读生态系统构成要素以及各要素之间的相互关系,探讨移动阅读生态系统运行机制:竞合共生机制、监管协调机制、长效学习机制和人工调控机制。提出以信息生态观为基础的移动阅读生态发展策略:强化政府主导作用,建设优质多元化阅读内容,有效运用信息技术,构建移动阅读社群,提升信息主体的素质。 "	PTSQ201704010
基于信息构建理论的图书馆协会网站可用性比较研究——以LSC与ALA为例	"夏太寿1,2:35054835|李淑涵2:37658854"	8	信息构建; 中国图书馆学会; 美国图书馆协会; 可用性; 网站比较;	"以中国图书馆学会(LSC)和美国图书馆协会(ALA)的官方网站为研究对象,以信息构建理论为基础,建立由要素、资源、服务三个一级指标以及若干二级指标、三级指标组成的网站可用性评价指标体系。然后根据指标体系设计出调查问卷,并通过问卷星(sojump)发放网络调查问卷。基于对283份调查问卷的统计以及对LSC和ALA两个网站的实际访问,分析比较LSC网站和ALA网站之间的异同,并根据调查结果分别对LSC和ALA的官方网站提出改进建议,以期为图书馆协会的网站设计提供参考和借鉴。 "	PTSQ201704011
高校图书馆文化品牌建设情况分析——基于39所“985工程”高校的调查	周培培:23497888	6	高校图书馆; 文化品牌; 品牌推广; 品牌建设;	"调查39所""985工程""高校图书馆文化品牌建设情况,从品牌展示、品牌推广及人员制度建设三个方面对调查结果进行深入分析,并从建立品牌认知,塑造品牌形象;注重品牌推广,提升品牌社会形象;建立人才组织与制度保障机制;进行品牌效果评估,完善品牌建设策略四个方面提出建议。 "	PTSQ201704012
